"","orig_index","ak_covid","ak_flu","al_covid","al_flu","ar_covid","ar_flu","az_covid","az_flu","ca_covid","ca_flu","ca_RSV","co_covid","co_flu","co_RSV","ct_covid","ct_flu","ct_RSV","dc_covid","dc_flu","de_covid","de_flu","fl_covid","fl_flu","ga_covid","ga_flu","ga_RSV","hi_covid","hi_flu","ia_covid","ia_flu","id_covid","id_flu","il_covid","il_flu","in_covid","in_flu","ks_covid","ks_flu","ky_covid","ky_flu","la_covid","la_flu","ma_covid","ma_flu","md_covid","md_flu","md_RSV","me_covid","me_flu","mi_covid","mi_flu","mi_RSV","mn_covid","mn_flu","mn_RSV","mo_covid","mo_flu","ms_covid","ms_flu","mt_covid","mt_flu","nc_covid","nc_flu","nd_covid","nd_flu","ne_covid","ne_flu","nh_covid","nh_flu","nj_covid","nj_flu","nm_covid","nm_flu","nm_RSV","nv_covid","nv_flu","ny_covid","ny_flu","ny_RSV","oh_covid","oh_flu","ok_covid","ok_flu","or_covid","or_flu","or_RSV","pa_covid","pa_flu","ri_covid","ri_flu","sc_covid","sc_flu","sd_covid","sd_flu","tn_covid","tn_flu","tn_RSV","tx_covid","tx_flu","ut_covid","ut_flu","ut_RSV","va_covid","va_flu","vt_covid","vt_flu","wa_covid","wa_flu","wi_covid","wi_flu","wv_covid","wv_flu","wy_covid","wy_flu"
"11",202011,0,0,0,0,0,0,0,0,0,0,313.902688,0,0,104.617242,0,0,32.450373,0,0,0,0,0,0,0,0,43.198264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.825645,0,0,0,0,40.203244,0,0,45.65912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.592187,0,0,0,0,138.851391,0,0,0,0,0,0,46.707705,0,0,0,0,0,0,0,0,0,0,27.900872,0,0,0,0,53.4076,0,0,0,0,0,0,0,0,0,0,0,0
"12",202012,0,0,0,0,0,0,0,0,0,0,156.951344,0,0,87.181035,0,0,25.239179,0,0,0,0,0,0,0,0,10.799566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.330258,0,0,0,0,30.152433,0,0,34.24434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.854032,0,0,0,0,99.179565,0,0,0,0,0,0,46.707705,0,0,0,0,0,0,0,0,0,0,27.900872,0,0,0,0,56.745575,0,0,0,0,0,0,0,0,0,0,0,0
"13",202013,0,0,0,0,0,0,0,0,0,0,117.713508,0,0,40.684483,0,0,14.422388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.203244,0,0,17.12217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.738155,0,0,0,0,59.507739,0,0,0,0,0,0,21.230775,0,0,0,0,0,0,0,0,0,0,13.950436,0,0,0,0,26.7038,0,0,0,0,0,0,0,0,0,0,0,0
"14",202014,0,0,0,0,0,0,0,0,0,0,39.237836,0,0,17.436207,0,0,0,0,0,0,0,0,0,0,0,10.799566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.41478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.347631,0,0,0,0,59.507739,0,0,0,0,0,0,8.49231,0,0,0,0,0,0,0,0,0,0,6.975218,0,0,0,0,16.689875,0,0,0,0,0,0,0,0,0,0,0,0
"15",202015,0,0,0,0,0,0,0,0,0,0,39.237836,0,0,11.624138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.165129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.835913,0,0,0,0,0,0,4.246155,0,0,0,0,0,0,0,0,0,0,6.975218,0,0,0,0,6.67595,0,0,0,0,0,0,0,0,0,0,0,0
"16",202016,0,0,0,0,0,0,0,0,0,0,0,0,0,5.812069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.050811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.246155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",202017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",202018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.050811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.025814240795,0,0,0,0,0,0,0,0,4.246155,0,0,0,0,0,0,0,0,0,0,6.975218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",202041,5.010360132291,0,99.33249815487,0,60.906786184486,0,64.7097334512,0,313.957895635252,0,0,43.032204339791,0,0,15.20491071691,0,0,10.3400454276,0,14.235152291912,0,257.56543248612,0,222.847834858608,0,0,18.441963398466,0,60.559837328551,0,15.607665157956,0,119.793546303669,0,115.868797901825,0,55.392180877866,0,605.314688642676,0,118.455095191977,0,44.581782636588,0,41.740185932343,0,0,0,0,83.701676538783,0,0,61.53964159811,0,0,159.430073121611,0,71.591777245955,0,48.030577445151,0,115.456586089614,0,28.352657475492,0,39.526158712464,0,0,0,57.3824396452,0,14.063529831959,0,0,35.063928689871,0,115.916850522531,0,0,165.217388928825,0,151.222131394804,0,15.016437988245,0,0,75.046625546088,0,5.1820271341,0,65.654253271035,0,37.11020586088,0,127.61705398004,0,0,469.659116394603,0,31.840332675575,0,0,61.36718885331,0,0,0,27.15820439826,0,171.843584961368,0,15.983612314145,0,17.891040933245,0
"20",202042,4.008288398902,0,110.597006280522,0,95.853300615501,0,59.807475625152,0,290.037294436736,0,0,71.053177040521,0,0,24.327857147056,0,0,8.46003722895,0,9.151169115504,0,273.600633576336,0,247.048506711046,0,0,9.220981699233,0,76.709128134319,0,22.891241724756,0,151.000269940764,0,124.9367860465,0,89.634617991828,0,151.076878873194,0,131.395569330276,0,36.476004610365,0,42.758239849242,0,0,1.016372579761,0,72.608676844571,0,0,63.55733523308,0,0,183.49498947007,0,72.58610719868,0,58.249849124516,0,140.339465292348,0,18.226708764576,0,37.499176919304,0,2.033253715328,0,57.3824396452,0,29.131595544315,0,0,29.052966880872,0,144.639609592965,0,0,153.128311402813,0,174.255966770166,0,25.027393816305,0,0,88.230500079624,0,3.10921628046,0,77.591390229405,0,38.113184567056,0,142.809560074082,0,0,667.780852334079,0,34.9216541158,0,0,62.373210042828,0,0,0,36.210941777244,0,197.114702477772,0,14.984636433076,0,16.897093796707,0
